Date Time Diftime[microsec] /quatW quatX quatY quatZ /accelX accelY accelZ /gyroX gyroY gyroZ /eulerX eulerY eulerZ /heading
 11.1002 10.9266 128.662 231.338
2018-Nov-26 11:29:15.596347 2838 0.424186 -0.0394968 0.124845 0.896058 231.987
2018-Nov-26 11:29:15.597374 1027 0.430716 -0.0312055 0.118299 0.894156 -0.260559 0.172791 1.00592 -22.3999 -135.071 -64.5752 10.6422 9.2343 127.698 232.302
2018-Nov-26 11:29:15.597498 124 0.433724 -0.0274545 0.114985 0.893257 -0.274048 0.15686 1.01746 -24.1089 -130.432 -59.9976 10.4634 8.70268 127.404 232.596
2018-Nov-26 11:29:15.597576 78 0.436431 -0.0240699 0.111785 0.892442 -0.286072 0.15332 1.02594 -25.0854 -123.352 -53.4668 10.2832 8.21158 127.14 232.86
2018-Nov-26 11:29:15.598837 1261 0.438756 -0.021092 0.108726 0.891755 -0.291504 0.138367 1.03693 -25.8179 -114.441 -44.9829 10.1023 7.76562 126.917 233.083
2018-Nov-26 11:29:15.600782 1945 0.440656 -0.0185416 0.105837 0.891222 -0.287476 0.131104 1.04529 -26.3062 -103.76 -35.5835 9.92197 7.36804 126.74 233.26
2018-Nov-26 11:29:15.602929 2147 0.442149 -0.016319 0.10322 0.890833 -0.279541 0.148865 1.05304 -25.6348 -93.3838 -26.7334 9.7572 7.01442 126.607 233.393
2018-Nov-26 11:29:15.603638 709 0.443248 -0.0142955 0.100912 0.890586 -0.260437 0.165649 1.06012 -23.9258 -84.3506 -18.0664 9.61739 6.69353 126.517 233.483
2018-Nov-26 11:29:15.604983 1345 0.444005 -0.0124917 0.098838 0.890469 -0.242798 0.164001 1.06677 -22.522 -75.3174 -10.5591 9.49324 6.4043 126.464 233.536
2018-Nov-26 11:29:15.605674 691 0.444479 -0.0108632 0.0969136 0.890465 -0.219849 0.153503 1.06927 -20.9961 -67.8711 -4.21143 9.37755 6.13823 126.444 233.556
2018-Nov-26 11:29:15.606949 1275 0.44477 -0.00927208 0.0950641 0.890537 -0.197937 0.16272 1.07556 -20.3857 -64.0259 -0.183105 9.26891 5.87823 126.444 233.556
2018-Nov-26 11:29:15.608469 1520 0.445006 -0.00767071 0.0932098 0.890631 -0.173218 0.151184 1.09021 -20.0806 -62.0117 0.854492 9.16069 5.6165 126.451 233.549
2018-Nov-26 11:29:15.609768 1299 0.44535 -0.00605368 0.0913915 0.89066 -0.128784 0.15686 1.09698 -18.9819 -58.5938 -2.56348 9.05632 5.35634 126.443 233.557
2018-Nov-26 11:29:15.610421 653 0.445902 -0.00456711 0.0898021 0.890554 -0.141052 0.188477 1.11469 -17.7002 -53.3447 -8.72803 8.9675 5.12402 126.404 233.596
2018-Nov-26 11:29:15.611841 1420 0.446605 -0.00288293 0.0882752 0.890361 -0.145935 0.171631 1.12286 -14.4043 -58.3496 -12.085 8.89467 4.87627 126.344 233.656
2018-Nov-26 11:29:15.612670 829 0.447353 -0.000911519 0.0867249 0.890142 -0.141296 0.158081 1.12488 -10.3149 -65.0024 -12.5122 8.83441 4.59816 126.28 233.72
2018-Nov-26 11:29:15.613446 776 0.448079 0.00119345 0.0852868 0.889916 -0.138428 0.160095 1.13715 -6.16455 -66.7114 -11.8408 8.79303 4.31213 126.217 233.783
